epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,41.0877,0.8007,1.85422,1.14716,0.93989,0.37378,0.61043,0.44906,1.5686,2.05229,1.38814,1.97946e-05,1.97946e-05,1.97946e-05
23,42.9294,1.05166,1.97943,1.33803,0.93759,0.37349,0.60848,0.44699,1.57404,2.10522,1.39472,2.0478e-05,2.0478e-05,2.0478e-05
24,44.8435,1.09034,2.47137,1.51957,0.93759,0.37349,0.60848,0.44699,1.57404,2.10522,1.39472,2.11379e-05,2.11379e-05,2.11379e-05
25,46.6988,0.64922,1.56163,1.11823,0.936,0.3733,0.59347,0.43343,1.62671,2.17321,1.43605,2.17741e-05,2.17741e-05,2.17741e-05
26,48.4544,0.87746,1.42501,1.15921,0.936,0.3733,0.59347,0.43343,1.62671,2.17321,1.43605,2.23869e-05,2.23869e-05,2.23869e-05
27,50.2384,0.95321,1.54171,1.36537,0.93635,0.37359,0.58989,0.43213,1.66741,2.25092,1.49482,2.2976e-05,2.2976e-05,2.2976e-05
28,51.9806,1.14323,1.59267,1.44952,0.93635,0.37359,0.58989,0.43213,1.66741,2.25092,1.49482,2.35417e-05,2.35417e-05,2.35417e-05
29,53.7702,1.0027,1.33691,1.35412,0.93412,0.37348,0.45184,0.31908,1.7003,2.28956,1.51986,2.40837e-05,2.40837e-05,2.40837e-05
30,55.5493,1.44717,2.4391,1.78191,0.93412,0.37348,0.45184,0.31908,1.7003,2.28956,1.51986,2.46022e-05,2.46022e-05,2.46022e-05
31,57.3534,0.78931,1.9144,1.28754,0.93262,0.37336,0.45406,0.3047,1.72653,2.32375,1.53919,2.50971e-05,2.50971e-05,2.50971e-05
32,59.1726,0.80724,1.03891,1.13146,0.93262,0.37336,0.45406,0.3047,1.72653,2.32375,1.53919,2.55685e-05,2.55685e-05,2.55685e-05
33,60.9808,1.0675,3.1643,1.41376,0.93527,0.37328,0.44098,0.32052,1.75551,2.36443,1.54376,2.60163e-05,2.60163e-05,2.60163e-05
34,62.8299,0.86309,1.03217,1.2879,0.93527,0.37328,0.44098,0.32052,1.75551,2.36443,1.54376,2.64405e-05,2.64405e-05,2.64405e-05
35,64.7761,0.75263,1.59966,1.1939,0.92646,0.37293,0.44136,0.32059,1.76006,2.38929,1.55108,2.68412e-05,2.68412e-05,2.68412e-05
36,66.5499,0.8953,1.49148,1.19793,0.92646,0.37293,0.44136,0.32059,1.76006,2.38929,1.55108,2.72183e-05,2.72183e-05,2.72183e-05
37,68.3471,0.73701,1.29662,1.26765,0.92545,0.37295,0.41335,0.27858,1.75637,2.43092,1.54522,2.75718e-05,2.75718e-05,2.75718e-05
38,70.1152,0.74524,0.9428,1.0942,0.92545,0.37295,0.41335,0.27858,1.75637,2.43092,1.54522,2.79018e-05,2.79018e-05,2.79018e-05
39,72.1554,0.83764,1.74936,1.19295,0.74186,0.38285,0.41529,0.279,1.76472,2.45217,1.54457,2.82082e-05,2.82082e-05,2.82082e-05
40,73.9343,0.75737,0.97863,1.10823,0.74186,0.38285,0.41529,0.279,1.76472,2.45217,1.54457,2.84911e-05,2.84911e-05,2.84911e-05
41,75.7563,1.38517,2.16721,1.70618,0.94586,0.38909,0.41946,0.28113,1.7592,2.40266,1.53663,2.87504e-05,2.87504e-05,2.87504e-05
42,77.5802,0.80644,1.13565,1.20605,0.94586,0.38909,0.41946,0.28113,1.7592,2.40266,1.53663,2.89861e-05,2.89861e-05,2.89861e-05
43,79.6122,0.83171,0.87748,1.09284,0.94529,0.39072,0.4197,0.28957,1.75143,2.42105,1.52834,2.91983e-05,2.91983e-05,2.91983e-05
44,81.44,0.89707,1.27244,1.25024,0.94529,0.39072,0.4197,0.28957,1.75143,2.42105,1.52834,2.93869e-05,2.93869e-05,2.93869e-05
45,83.2932,0.67539,1.25256,1.1794,0.94545,0.39102,0.42038,0.28191,1.75237,2.37525,1.51521,2.9552e-05,2.9552e-05,2.9552e-05
46,85.1302,0.69808,0.92854,1.0311,0.94545,0.39102,0.42038,0.28191,1.75237,2.37525,1.51521,2.96935e-05,2.96935e-05,2.96935e-05
47,87.0285,0.69449,0.75609,1.01434,0.94734,0.39195,0.42106,0.28253,1.75398,2.35201,1.51448,2.98114e-05,2.98114e-05,2.98114e-05
48,88.8866,0.70661,0.90068,1.15918,0.94734,0.39195,0.42106,0.28253,1.75398,2.35201,1.51448,2.99058e-05,2.99058e-05,2.99058e-05
49,90.8821,0.8566,1.27268,1.28096,0.94888,0.3942,0.42126,0.31562,1.75468,2.31768,1.50238,2.99766e-05,2.99766e-05,2.99766e-05
50,92.7739,0.83477,1.52878,1.29136,0.94888,0.3942,0.42126,0.31562,1.75468,2.31768,1.50238,3.00238e-05,3.00238e-05,3.00238e-05
51,94.784,0.69955,1.08004,1.13204,0.78251,0.39379,0.42113,0.3154,1.75662,2.3634,1.50068,3.00475e-05,3.00475e-05,3.00475e-05
